,City,Country,GDP
0,Santiago,Chile,247025
1,Buenos Aires,Argentina,545124
2,Londres,,
3,Dubai,United Arab Emirates,371353
4,Istanbul,Turkey,857429
5,Kaohsiung,Taiwan,528550
6,Vienna,Austria,386752
7,Brussels,Belgium,466960
8,Porto Alegre,Brazil,1798622
9,Rio de Janeiro,Brazil,1798622
10,Sao Paulo,,
11,Brasilia,,
12,Sofia,Bulgaria,52418
13,Beijing,China,11218281
14,Changsha,China,11218281
15,Hong Kong,China,11218281
16,Shangai,,
17,Copenhagen,ÂDenmark,
18,Toronto,Canada,1529224
19,Vancouver,Canada,1529224
20,Prague,Czech Republic,192991
21,lyon,,
22,Paris,France,2463222
23,Berlin,Germany,3466639
24,Munich,Germany,3466639
25,Hamburg,Germany,3466639
26,Athens,Greece,194248
27,Budapest,Hungary,125675
28,Milan,Italy,1850735
29,Naples,Italy,1850735
30,Turin,Italy,1850735
31,Amsterdam,Netherlands,771163
32,Saint Petesburg,,
33,Novosibirks,,
34,Taipei,Taiwan,528550
35,Istanbul,Turkey,857429
36,Ankara,Turkey,857429
37,Rome,Italy,1850735
38,Mexico City,Mexico,1046002
39,Oslo,Norway,370449
40,Moscow,Russia,1280731
41,Barcelona,Spain,1232597
42,Madrid,Spain,1232597
43,Boston,USA,
44,Chicago,USA,
45,New York,,
46,Los Angeles,USA,
47,Budapest,Hungary,125675
48,Oslo,Norway,370449
49,Bucharest,Romania,187039
